Names	total	elements
5M_W-D 8M_W-D	898	KQB07-23990_k25_TRINITY_DN4155_c0_g1_i14.gen
		SP80-3280_Mattielo_SP803280_c112439_g3_i2.gen
		Q200_k25_TRINITY_DN54513_c0_g1_i3.gen
		QBYN04-26041_k25_TRINITY_DN2239_c0_g1_i3.gen
		CoV92102_k25_TRINITY_DN12970_c0_g1_i10.gen
		KQB09-23137_k25_TRINITY_DN5002_c0_g1_i14.gen
		ROC22_k31_TRINITY_DN7834_c0_g2_i4.gen
		SP80-3280_unmappedk25_TRINITY_DN15043_c0_g2_i1.gen
		QN05-1460_k25_TRINITY_DN1360_c0_g2_i3.gen
		GT96-167_k31_TRINITY_DN6320_c0_g2_i8.gen
		B1_k25_TRINITY_DN5347_c0_g1_i3.gen
		GXU-34176_k31_TRINITY_DN4586_c0_g1_i8.gen
		CoV92102_k31_TRINITY_DN12994_c0_g1_i4.gen
		GUC10_k25_TRINITY_DN3927_c0_g1_i3.gen
		ROC20_k31_TRINITY_DN17474_c0_g2_i4.gen
		T2_k31_TRINITY_DN3957_c0_g2_i3.gen
		ROC20_k25_TRINITY_DN13203_c0_g1_i4.gen
		QN05-1460_k31_TRINITY_DN2634_c0_g1_i4.gen
		FN95-1702_k25_TRINITY_DN1531_c0_g1_i2.gen
		R570_BAC_Sh_005O03_contig-1_p000070.gen
		GXU-34176_k25_TRINITY_DN9206_c0_g1_i1.gen
		ROC20_k31_TRINITY_DN15383_c0_g1_i7.gen
		Q241_k31_TRINITY_DN313_c0_g4_i1.gen
		CoV92102_k25_TRINITY_DN5600_c0_g1_i1.gen
		T1_k31_TRINITY_DN28829_c0_g1_i1.gen
		CoV92102_k25_TRINITY_DN23281_c0_g1_i9.gen
		B2_k31_TRINITY_DN1099_c0_g1_i1.gen
		ROC20_k25_TRINITY_DN8085_c1_g1_i8.gen
		CC011940_Sobic.003G428000.1.mrna2.gen
		GXU-34140_k31_TRINITY_DN665_c0_g1_i2.gen
		KQB09-20432_k25_TRINITY_DN970_c0_g1_i5.gen
		QN05-1743_k31_TRINITY_DN40477_c0_g1_i1.gen
		QN05-803_k25_TRINITY_DN1931_c0_g1_i5.gen
		QN05-1460_k25_TRINITY_DN2315_c0_g1_i6.gen
		KQB07-23990_k25_TRINITY_DN1941_c0_g1_i9.gen
		ROC22_k25_TRINITY_DN10897_c0_g2_i1.gen
		GXU-34140_k25_TRINITY_DN17409_c0_g1_i2.gen
		MS6847_k31_TRINITY_DN11161_c0_g1_i1.gen
		Q200_k31_TRINITY_DN3132_c0_g1_i4.gen
		KQB08-32953_k25_TRINITY_DN6590_c0_g1_i3.gen
		B2_k25_TRINITY_DN23202_c0_g2_i5.gen
		ROC20_k31_TRINITY_DN1993_c0_g1_i6.gen
		GUC10_k31_TRINITY_DN9298_c0_g2_i3.gen
		QA96-1749_k31_TRINITY_DN6473_c0_g1_i5.gen
		KQB09-23137_k25_TRINITY_DN3528_c0_g1_i5.gen
		T2_k31_TRINITY_DN5468_c0_g1_i5.gen
		SP80-3280_Mattielo_SP803280_c108510_g1_i2.gen
