Names	total	elements
5000 8008	150	SP80-3280_Mattielo_SP803280_c112439_g3_i2.gen
		QN05-1460_k25_TRINITY_DN1360_c0_g2_i3.gen
		B1_k25_TRINITY_DN5347_c0_g1_i3.gen
		GXU-34176_k25_TRINITY_DN9206_c0_g1_i1.gen
		ROC20_k25_TRINITY_DN19885_c0_g2_i7.gen
		QN05-803_k25_TRINITY_DN1931_c0_g1_i5.gen
		QN05-1509_k31_TRINITY_DN1422_c0_g1_i9.gen
		QN05-1743_k31_TRINITY_DN2143_c0_g1_i6.gen
		KQB09-23137_k25_TRINITY_DN1322_c0_g1_i3.gen
		GXU-34176_k31_TRINITY_DN27217_c0_g1_i2.gen
		F1-Bulk-1_k25_TRINITY_DN17241_c0_g1_i3.gen
		QA96-1749_k25_TRINITY_DN21233_c0_g1_i4.gen
		MS6847_k25_TRINITY_DN12945_c0_g1_i10.gen
		KQB09-20620_k25_TRINITY_DN1357_c0_g1_i6.gen
		RB72454_k31_TRINITY_DN12430_c0_g4_i3.gen
		KQB09-20620_k25_TRINITY_DN2307_c0_g1_i11.gen
		R570_BAC_Sh_225D21_p000020.gen
		CP74-2005_k25_TRINITY_DN8600_c0_g2_i2.gen
		QS99-2014_k31_TRINITY_DN6425_c0_g1_i3.gen
		KQB09-20620_k25_TRINITY_DN806_c0_g1_i4.gen
		Co06022_k25_TRINITY_DN51079_c0_g1_i2.gen
		QN05-1509_k31_TRINITY_DN4032_c0_g1_i11.gen
		KQB07-24619_k31_TRINITY_DN4378_c0_g1_i22.gen
		F1-Bulk-1_k25_TRINITY_DN19667_c1_g1_i1.gen
		QA02-1009_k25_TRINITY_DN12240_c0_g1_i2.gen
		F1-Bulk-2_k31_TRINITY_DN6175_c0_g1_i3.gen
		QN05-1509_k31_TRINITY_DN815_c0_g1_i5.gen
		KQB08-32953_k25_TRINITY_DN1190_c0_g1_i3.gen
		QN05-803_k31_TRINITY_DN5718_c0_g2_i10.gen
		KQB09-20620_k31_TRINITY_DN3386_c0_g2_i12.gen
		B2_k31_TRINITY_DN2420_c0_g1_i5.gen
		F1-Bulk-1_k31_TRINITY_DN11506_c0_g1_i5.gen
		ROC22_k31_TRINITY_DN5434_c0_g1_i1.gen
		GN18_k25_TRINITY_DN1418_c0_g1_i3.gen
		SP803280_IQUSP_evm.model.unitig_315731.1.gen
		FN95-1702_k31_TRINITY_DN16838_c0_g1_i6.gen
		MS6847_k31_TRINITY_DN38326_c0_g1_i4.gen
		ROC20_k31_TRINITY_DN4531_c0_g1_i1.gen
		QA96-1749_k31_TRINITY_DN5377_c0_g1_i5.gen
		TUC717_k25_TRINITY_DN2731_c0_g1_i9.gen
		KQB07-23863_k31_TRINITY_DN1113_c0_g1_i12.gen
		KQB08-32953_k31_TRINITY_DN10334_c1_g1_i5.gen
		ROC20_k25_TRINITY_DN1137_c0_g1_i6.gen
		T2_k31_TRINITY_DN693_c0_g2_i14.gen
		QC02-402_k25_TRINITY_DN40426_c0_g1_i4.gen
		QA02-1009_k31_TRINITY_DN5828_c0_g1_i7.gen
		KQB09-23137_k31_TRINITY_DN4846_c0_g1_i3.gen
		KQB08-32953_k31_TRINITY_DN1156_c0_g1_i1.gen
		QA02-1009_k25_TRINITY_DN6173_c0_g1_i2.gen
		KQ08-2850_k31_TRINITY_DN2900_c0_g2_i4.gen
		KQ08-2850_k31_TRINITY_DN2215_c0_g1_i8.gen
		GUC10_k25_TRINITY_DN7690_c0_g1_i1.gen
		ROC22_k31_TRINITY_DN17310_c0_g1_i3.gen
		KQB09-20620_k25_TRINITY_DN640_c1_g2_i5.gen
		F1-Bulk-1_k31_TRINITY_DN4650_c0_g1_i6.gen
		LCP85-384_k31_TRINITY_DN7034_c0_g1_i8.gen
		MT11-610_k25_TRINITY_DN5435_c0_g2_i1.gen
		LCP85-384_k25_TRINITY_DN129078_c0_g3_i1.gen
		KQB07-24619_k25_TRINITY_DN3705_c0_g1_i2.gen
		QA02-1009_k25_TRINITY_DN3899_c0_g1_i5.gen
		KQB09-20432_k25_TRINITY_DN1210_c0_g1_i7.gen
		KQB07-23863_k25_TRINITY_DN9739_c0_g1_i4.gen
		QN05-1509_k31_TRINITY_DN1147_c0_g1_i6.gen
		QN05-1509_k31_TRINITY_DN5234_c0_g2_i1.gen
		KQ08-2850_k31_TRINITY_DN1071_c0_g1_i6.gen
		KQB07-24619_k31_TRINITY_DN1179_c0_g2_i4.gen
		MT11-610_k25_TRINITY_DN10978_c0_g1_i2.gen
		GT96-167_k25_TRINITY_DN50491_c0_g1_i1.gen
		CC011940_cc_00022715-RA.gen
		FN95-1702_k31_TRINITY_DN49065_c0_g1_i1.gen
		QC02-402_k25_TRINITY_DN4983_c0_g1_i16.gen
		KQ08-2850_k31_TRINITY_DN4626_c0_g1_i8.gen
		GXU-34140_k25_TRINITY_DN55896_c0_g1_i1.gen
		KQB07-23863_k31_TRINITY_DN7689_c0_g1_i13.gen
		ROC22_k31_TRINITY_DN10539_c0_g1_i6.gen
		GXU-34176_k25_TRINITY_DN5743_c0_g2_i2.gen
		MT11-610_k25_TRINITY_DN3747_c0_g1_i4.gen
		Q241_k25_TRINITY_DN8422_c0_g1_i6.gen
		Q200_k31_TRINITY_DN6234_c0_g2_i1.gen
		QA02-1009_k25_TRINITY_DN2172_c0_g1_i11.gen
		QA96-1749_k31_TRINITY_DN4392_c0_g1_i8.gen
		KQB08-32953_k25_TRINITY_DN2211_c0_g1_i15.gen
		Co06022_k31_TRINITY_DN1392_c0_g1_i13.gen
		F1-Bulk-2_k31_TRINITY_DN22168_c0_g1_i2.gen
		GXU-34140_k25_TRINITY_DN888_c0_g1_i2.gen
		F1-Bulk-2_k25_TRINITY_DN3489_c1_g1_i3.gen
		QA02-1009_k31_TRINITY_DN779_c0_g1_i4.gen
		QS99-2014_k31_TRINITY_DN1493_c0_g1_i6.gen
		KQ08-2850_k25_TRINITY_DN1688_c0_g2_i1.gen
		KQB09-20620_k31_TRINITY_DN3090_c0_g1_i2.gen
		QN05-1460_k31_TRINITY_DN2015_c0_g1_i27.gen
		QN05-1460_k25_TRINITY_DN1590_c0_g1_i1.gen
		F1-Bulk-2_k25_TRINITY_DN76043_c0_g1_i1.gen
		KQB09-23137_k31_TRINITY_DN7051_c0_g1_i4.gen
		KQB07-23990_k31_TRINITY_DN1120_c0_g1_i10.gen
		QN05-803_k25_TRINITY_DN4856_c0_g1_i7.gen
		QA02-1009_k31_TRINITY_DN13157_c0_g1_i2.gen
		KQB07-24619_k31_TRINITY_DN1469_c0_g1_i7.gen
		QA02-1009_k31_TRINITY_DN755_c0_g1_i5.gen
		QN05-1509_k25_TRINITY_DN5784_c0_g2_i4.gen
		QC02-402_k25_TRINITY_DN4742_c1_g1_i2.gen
		QA02-1009_k25_TRINITY_DN5876_c0_g1_i16.gen
		GT96-167_k31_TRINITY_DN7164_c0_g1_i1.gen
		Q200_k25_TRINITY_DN3118_c0_g1_i1.gen
		T1_k25_TRINITY_DN6130_c0_g1_i1.gen
		QN05-1509_k31_TRINITY_DN1749_c0_g1_i3.gen
		KQB07-23863_k31_TRINITY_DN1423_c0_g1_i16.gen
		KQB09-23137_k25_TRINITY_DN5463_c0_g1_i1.gen
		SP803280_CTBE_evm.model.SCSP803280_000089521.1.gen
		QN05-803_k31_TRINITY_DN2515_c0_g1_i19.gen
		Q200_k25_TRINITY_DN2753_c0_g1_i9.gen
		QN05-1743_k31_TRINITY_DN1631_c0_g1_i10.gen
		QN05-1743_k31_TRINITY_DN2156_c0_g1_i13.gen
		QN05-1743_k31_TRINITY_DN6213_c0_g1_i4.gen
		KQ08-2850_k31_TRINITY_DN641_c0_g1_i6.gen
		QN05-1743_k25_TRINITY_DN46132_c0_g1_i1.gen
		KQB07-24619_k31_TRINITY_DN5441_c0_g1_i9.gen
		CC011940_Sobic.004G149800.1.mrna1.gen
		KQB07-24619_k31_TRINITY_DN3080_c0_g1_i3.gen
		MT11-610_k25_TRINITY_DN10978_c0_g3_i1.gen
		GN18_k31_TRINITY_DN5368_c0_g1_i18.gen
		RB855156_k25_TRINITY_DN3453_c0_g1_i2.gen
		ROC26_k25_TRINITY_DN3523_c0_g1_i3.gen
		QA02-1009_k31_TRINITY_DN2510_c0_g1_i5.gen
		QN05-803_k25_TRINITY_DN5279_c0_g1_i6.gen
		QN05-803_k31_TRINITY_DN2986_c0_g2_i1.gen
		QN05-1509_k31_TRINITY_DN3038_c0_g1_i8.gen
		KQB07-24739_k25_TRINITY_DN8743_c0_g1_i2.gen
		FN95-1702_k31_TRINITY_DN5307_c0_g1_i3.gen
		GT96-167_k31_TRINITY_DN25140_c1_g1_i1.gen
		CP74-2005_k31_TRINITY_DN159_c0_g1_i2.gen
		KQB07-24739_k25_TRINITY_DN4060_c0_g1_i11.gen
		KQB09-20620_k31_TRINITY_DN2776_c0_g1_i3.gen
		KQ08-2850_k31_TRINITY_DN2926_c0_g1_i9.gen
		QS99-2014_k25_TRINITY_DN2145_c0_g1_i5.gen
		QN05-1460_k31_TRINITY_DN2058_c0_g1_i3.gen
		GN18_k31_TRINITY_DN9769_c0_g1_i2.gen
		QN05-1460_k25_TRINITY_DN391_c0_g1_i1.gen
		QA02-1009_k31_TRINITY_DN1665_c0_g1_i18.gen
		QA96-1749_k31_TRINITY_DN862_c0_g1_i18.gen
		QBYN04-26041_k31_TRINITY_DN11843_c0_g1_i11.gen
		Q200_k25_TRINITY_DN45566_c0_g1_i2.gen
		F1-Bulk-1_k31_TRINITY_DN8710_c0_g1_i4.gen
		KQ08-2850_k31_TRINITY_DN1950_c0_g1_i1.gen
		KQB07-23863_k31_TRINITY_DN3103_c1_g1_i2.gen
		Co8021_k25_TRINITY_DN20162_c0_g1_i6.gen
		CoV92102_k25_TRINITY_DN9408_c0_g1_i4.gen
		QBYN04-26041_k25_TRINITY_DN3545_c0_g1_i4.gen
		RB72454_k25_TRINITY_DN54226_c0_g1_i1.gen
		KQB07-24619_k31_TRINITY_DN3147_c0_g1_i17.gen
5000	543	QN05-1509_k25_TRINITY_DN4697_c0_g1_i12.gen
		MS6847_k25_TRINITY_DN4143_c0_g1_i6.gen
		CoV92102_k31_TRINITY_DN17657_c0_g1_i5.gen
		QN05-803_k25_TRINITY_DN7656_c0_g1_i3.gen
		QA02-1009_k25_TRINITY_DN27150_c0_g1_i1.gen
		KQB09-23137_k25_TRINITY_DN16958_c0_g1_i8.gen
		KQB09-20620_k25_TRINITY_DN4181_c2_g1_i5.gen
		KQB08-32953_k31_TRINITY_DN1895_c0_g1_i7.gen
		ROC22_k25_TRINITY_DN23239_c0_g2_i3.gen
		KQ08-2850_k25_TRINITY_DN3899_c1_g1_i4.gen
		KQB08-32953_k31_TRINITY_DN6071_c0_g1_i2.gen
		F1-Bulk-1_k25_TRINITY_DN13706_c0_g1_i2.gen
		QN05-1460_k31_TRINITY_DN3444_c0_g2_i2.gen
		ROC26_k31_TRINITY_DN16978_c0_g2_i1.gen
		QBYN04-26041_k25_TRINITY_DN2603_c0_g1_i19.gen
		ROC26_k25_TRINITY_DN9659_c0_g1_i7.gen
		F1-Bulk-1_k25_TRINITY_DN17032_c0_g1_i1.gen
		KQB08-32953_k31_TRINITY_DN933_c0_g1_i6.gen
		Co06022_k31_TRINITY_DN73052_c0_g1_i1.gen
		QN05-1509_k25_TRINITY_DN3704_c0_g1_i6.gen
