Sample	adapters	FinalReads	InputReads	rfam-5.8s-database-id98	rfam-5s-database-id98	silva-arc-16s-id95	silva-arc-23s-id98	silva-bac-16s-id90	silva-bac-23s-id98	silva-euk-18s-id95	silva-euk-28s-id98
1	21DH5_S21	463	39478160	44007802	10924	926	16	5665	77406	108872	1922840	2402530
2	21DH8_S24	127	18827907	21700062	3943	588	6	4140	68960	88479	876290	1829622
3	22DH5_S22	88	27272958	31102338	5608	1359	24	3992	61941	83271	1423572	2249525
4	22DH8_S25	445	28524829	30105386	6105	688	12	2098	59352	70178	550620	891059
5	23DH5_S23	710	25309210	26432642	2726	662	1	1514	24440	31528	514374	547477
6	23DH8_S26	935	23585285	24820016	3438	992	9	1495	35476	40881	521052	630453
7	F25C1_S6	819908	25458218	30536346	38698	6074	9	6823	71610	98489	1533856	2502661
8	F25C2_S7	392300	18246111	19838052	3886	1373	6	2175	23330	34362	475960	658549
9	F25C3_S8	924862	31715902	35763138	18779	3269	20	4848	62208	92297	1179474	1761479
10	F28C1_S9	1436530	38098244	41356590	15508	2239	10	2174	54850	63416	749682	933937
11	F28C2_S10	926059	25315764	39119046	105670	3340	122	23322	219412	357723	3492298	8675336
12	F28C3_S11	605513	26187353	31880096	32366	1905	13	5444	138383	168224	1850059	2890836
13	FIDH15000_S27	72	36891495	39138326	6562	861	9	1817	31424	39714	1126631	1039741
14	FIDH1800_S30	88	35994448	38161898	10388	1310	31	3132	69451	106461	928297	1048292
15	FIDH25000_S28	116	28867711	33371138	7898	797	8	6202	69648	105546	1390170	2923042
16	FIDH28000_S31	100	40335415	43084526	9980	928	12	2659	56139	65820	1143510	1469963
17	FIDH35000_S29	332	15087950	22468774	23139	1489	16	9306	115888	189723	2128845	4912086
18	FIDH38000_S32	346	12854319	16596992	5986	965	551	5424	57529	98316	894678	2678878
