GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0006412,translation,5,3,0.35,0.0028,0.0101
GO:0006518,peptide metabolic process,5,3,0.35,0.0028,0.0101
GO:0043043,peptide biosynthetic process,5,3,0.35,0.0028,0.0101
GO:0043603,cellular amide metabolic process,5,3,0.35,0.0028,0.0101
GO:0043604,amide biosynthetic process,5,3,0.35,0.0028,0.0101
GO:0048015,phosphatidylinositol-mediated signaling,2,2,0.14,0.0047,0.0115
GO:0048017,inositol lipid-mediated signaling,2,2,0.14,0.0047,0.0115
GO:0019538,protein metabolic process,18,5,1.26,0.0051,0.0115
GO:1901566,organonitrogen compound biosynthetic pro...,7,3,0.49,0.0088,0.0176
GO:0044267,cellular protein metabolic process,15,4,1.05,0.0150,0.027
GO:1901564,organonitrogen compound metabolic proces...,24,5,1.68,0.0187,0.0274
GO:0071840,cellular component organization or bioge...,35,6,2.45,0.0252,0.0274
GO:0006417,regulation of translation,4,2,0.28,0.0259,0.0274
GO:0010608,posttranscriptional regulation of gene e...,4,2,0.28,0.0259,0.0274
GO:0032268,regulation of cellular protein metabolic...,4,2,0.28,0.0259,0.0274
GO:0034248,regulation of cellular amide metabolic p...,4,2,0.28,0.0259,0.0274
GO:0051246,regulation of protein metabolic process,4,2,0.28,0.0259,0.0274
GO:0016043,cellular component organization,30,5,2.1,0.0469,0.0469
