GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0098796,membrane protein complex,9,7,2.97,0.0066,0.0408
GO:0005789,endoplasmic reticulum membrane,4,4,1.32,0.0112,0.0408
GO:0042175,nuclear outer membrane-endoplasmic retic...,4,4,1.32,0.0112,0.0408
GO:0031090,organelle membrane,12,8,3.96,0.0148,0.0408
GO:0005694,chromosome,6,5,1.98,0.0157,0.0408
GO:0000228,nuclear chromosome,5,4,1.65,0.0417,0.0417
GO:0000785,chromatin,5,4,1.65,0.0417,0.0417
GO:0000790,nuclear chromatin,5,4,1.65,0.0417,0.0417
GO:0031011,Ino80 complex,5,4,1.65,0.0417,0.0417
GO:0033202,DNA helicase complex,5,4,1.65,0.0417,0.0417
GO:0070603,SWI/SNF superfamily-type complex,5,4,1.65,0.0417,0.0417
GO:0097346,INO80-type complex,5,4,1.65,0.0417,0.0417
GO:1904949,ATPase complex,5,4,1.65,0.0417,0.0417
